participant,lor
doen01,19
doen02,20
doen03,20
doen04,21
doen05,20
doen06,21
doen07,20
doen08,28
doen09,24
doen10,20
doen11,46
doen12,18
doen13,27
doen14,20
doen15,48
doen16,25
doen17,22
doen18,53
doen19,22
doen20,36
doen21,28
doen22,33
doen23,34
doen24,30
doen25,25
doen26,39
doen27,31
doen28,22
doen29,25
doen30,64
doen31,18
doen32,29
doen33,22
doen34,19
doen35,29
doen36,20
doen37,31
doen38,19
doen39,26
doen40,19
doen41,32
doen42,25
doen43,21
doen44,37
doen45,47
doen46,25
doen47,29
doen48,27
doen49,21
doen50,20
doen51,27
doen52,26
doen53,21
doen54,27
doen55,35
doen56,36
doen57,20
doen58,21
doen59,25
doen60,67
doen61,69
doen62,25
doen63,47
doen64,21
doen65,23
doen66,20
doen67,18
doen68,18
doen69,18
doen70,40
doen71,25
doen72,18
doen73,21
doen74,21
doen75,18
doen76,16
doen77,18
doen78,18
doen79,19
doen80,19
doen81,20
doen82,61
doen83,24
doen84,18
doen85,21
doen86,18
doen87,19
doen88,18
doen89,21
doen90,19
doko01,2
doko02,0
doko03,0
doko04,0
doko05,0
doko06,0
doko07,0
doko08,0
doko09,0
doko10,0
doko11,0
doko12,0
doko13,0
doko14,0
doko15,0
doko16,0
doko17,0
doko18,0
doko19,0
doko20,0
doko21,0
doko22,0
doko23,0
doko24,0
doko25,0
doko26,0
doko27,0
doko28,0
doko29,0
doko30,7
doko31,0
doko32,0
doko33,0
doko34,0
doko35,0
doko36,0
doko37,0
doko38,0
doko39,0
doko40,0
doko41,0
doko42,0
doko43,7
doko44,0
doko45,0
doko46,0
doko47,0
doko48,6
doko49,0
doko50,0
doko51,0
doko52,0
doko53,0
doko54,0
doko55,0
doko56,0
doko57,0
doko58,0
doko59,0
doko60,0
doko61,0
doko62,0
doko63,0
doko64,0
doko65,0
doko66,0
doko67,0
doko68,0
doko69,0
dozh01,0
dozh02,0
dozh03,0
dozh04,0
dozh05,0
dozh06,0
dozh07,0
dozh08,0
dozh09,0
dozh10,0
dozh11,0
dozh12,1
dozh13,0
dozh14,0
dozh15,0
dozh16,0
dozh17,0
dozh18,0
dozh19,0
dozh20,0
dozh21,0
dozh22,0
dozh23,0
dozh24,0
dozh25,0
dozh26,0
dozh27,0
dozh28,0
dozh29,0
dozh30,0
dozh31,0
dozh32,0
dozh33,0
dozh34,0
dozh35,0
dozh36,0
dozh37,0
dozh38,0
dozh39,0
dozh40,0
dozh41,0
dozh42,0
dozh43,0
dozh44,0
dozh45,0
dozh46,0
dozh47,0
dozh48,0
dozh49,0
dozh50,0
dozh51,0
dozh52,0
dozh53,0
dozh54,0
dozh55,0
dozh56,0
dozh57,0
dozh58,0
dozh59,0
dozh60,0
dozh61,1
dozh62,0
dozh63,0
dozh64,0
dozh65,0
dozh66,0
dozh67,0
dozh68,0
dozh69,1
dozh70,0
dozh71,0
dozh72,0
dozh73,0
dozh74,0
dozh75,0
dozh76,0
suen01,21
suen02,23
suen03,46
suen04,19
suen05,20
suen06,20
suen07,23
suen08,26
suen09,21
suen10,20
suen11,23
suen12,51
suen13,23
suen14,19
suen15,58
suen16,18
suen17,19
suen18,25
suen19,23
suen20,35
suen21,20
suen22,28
suen23,30
suen24,19
suen25,23
suen26,18
suen27,29
suen28,41
suen29,26
suen30,30
suen31,21
suen32,24
suen33,28
suen34,19
suen35,34
suen36,21
suen37,23
suen38,57
suen39,18
suen40,29
suen41,18
suen42,23
suen43,19
suen44,23
suen45,19
suen46,39
suen47,21
suen48,31
suen49,24
suen50,19
suen51,25
suen52,38
suen53,18
suen54,24
suen55,21
suen56,29
suen57,18
suen58,35
suen59,38
suen60,21
suen61,30
suko01,0
suko02,0
suko03,0
suko04,0
suko05,8
suko06,0
suko07,0
suko08,0
suko09,0
suko10,0
suko11,0
suko12,0
suko13,0
suko14,0
suko15,0
suko16,0
suko17,0
suko18,0
suko19,0
suko20,0
suko21,0
suko22,0
suko23,0
suko24,0
suko25,0
suko26,0
suko27,0
suko28,0
suko29,0
suko30,0
suko31,0
suko32,0
suko33,0
suko34,1
suko35,0
suko36,0
suko37,0
suko38,0
suko39,0
suko40,0
suko41,2
suko42,0
suko43,0
suko44,0
suko45,0
suko46,0
suko47,0
suko48,0
suko49,0
suko50,0
suko51,0
suko52,0
suko53,0
suko54,0
suko55,0
suko56,0
suko57,0
suko58,0
suko59,0
suko60,0
suko61,0
suko62,0
suko63,0
suko64,0
suko65,0
suko66,0
suzh01,0
suzh02,0
suzh03,14
suzh04,0
suzh05,0
suzh06,0
suzh07,0
suzh08,0
suzh09,0
suzh10,0
suzh11,0
suzh12,0
suzh13,1
suzh14,2
suzh15,0
suzh16,0
suzh17,2
suzh18,2
suzh19,0
suzh20,0
suzh21,0
suzh22,0
suzh23,0
suzh24,0
suzh25,0
suzh26,0
suzh27,0
suzh28,0
suzh29,2
suzh30,0
suzh31,0
suzh32,0
suzh33,0
suzh34,0
suzh35,1
suzh36,0
suzh37,0
suzh38,0
suzh39,0
suzh40,4
suzh41,0
suzh42,0
suzh43,0
suzh44,0
suzh45,0
suzh46,0
suzh47,0
suzh48,0
suzh49,0
suzh50,0
suzh51,0
suzh52,0
suzh53,1
suzh54,0
suzh55,0
suzh56,0
suzh57,0
suzh58,0
suzh59,0
suzh60,0
suzh61,0
suzh62,0
suzh63,0
suzh64,0
suzh65,0
suzh66,0
suzh67,0
suzh68,0
suzh69,0
suzh70,0
suzh71,0
suzh72,0
suzh73,0
