study,group,participant,item,response,condition,target,type,environment,region1,region2,region3,region4,region5,region6
210510_do,english,doen01,item01,the man that the officers arrested last week,cond1,the man that the officers arrested last week,gap,short,,,,,,
210510_do,english,doen01,item02,the woman that Bill thinks the detectives caught last night,cond2,the woman that Bill thinks the detectives caught last night,gap,long,,,,,,
210510_do,english,doen01,item03,the man that Tina wondered which lawyers defended him last month,cond3,the man that Tina wonders which lawyers defended him last month,resumption,island,,,,,,
210510_do,english,doen01,item04,the woman that the restaurant employed last year,cond1,the woman that the restaurant employed last year,gap,short,,,,,,
210510_do,english,doen01,item05,the man that Anna thinks the nurses examined last night,cond2,the man that Anna thinks the nurses examined last night,gap,long,,,,,,
210510_do,english,doen01,item06,the woman that John wonders which business fired her last year,cond3,the woman that John wonders which business fired her last year,resumption,island,,,,,,
210510_do,english,doen01,item07,the man that the company hired last year,cond1,the man that the company hired last year,gap,short,,,,,,
210510_do,english,doen01,item08,the woman that Mike thinks the agency punished last year,cond2,the woman that Mike thinks the agency punished last year,gap,long,,,,,,
210510_do,english,doen01,item09,the man that Judy wonders which soldiers questioned him last week,cond3,the man that Judy wonders which soldiers questioned him last week,resumption,island,,,,,,
210510_do,english,doen01,item10,the woman that the firm recruited last month,cond1,the woman that the firm recruited last month,gap,short,,,,,,
210510_do,english,doen01,item11,the man that Mary thinks the officials released last month,cond2,the man that Mary thinks the officials released last month,gap,long,,,,,,
210510_do,english,doen01,item12,the woman that Bill wondered which guards rescued her last night,cond3,the woman that Bill wonders which guards rescued her last night,resumption,island,,,,,,
210510_do,english,doen01,item13,the man that the doctors treated last week,cond1,the man that the doctors treated last week,gap,short,,,,,,
210510_do,english,doen01,item14,the woman that Luke thinks the committee welcomed last month,cond2,the woman that Luke thinks the committee welcomed last month,gap,long,,,,,,
210510_do,english,doen01,item15,the man that Anna wonders which organization interviewed him last week,cond3,the man that Anna wonders which organization interviewed him last week,resumption,island,,,,,,
210510_do,english,doen02,item01,the man that Mary wonders which officers arrested him,cond3,the man that Mary wonders which officers arrested him last week,resumption,island,,,,,,
210510_do,english,doen02,item03,the one that Tina thinks the lawyers defended last month,cond2,the man that Tina thinks the lawyers defended last month,gap,long,,,,,,
210510_do,english,doen02,item07,the man that Lisa was wondering which company hired him last year,cond3,the man that Lisa wonders which company hired him last year,resumption,island,,,,,,
210510_do,english,doen02,item10,the woman that Dave was wondering which firm recruited this woman last month,cond3,the woman that Dave wonders which firm recruited her last month,resumption,island,,,,,,
210510_do,english,doen02,item13,the man that Tina is wondering which doctors treated him last week,cond3,the man that Tina wonders which doctors treated him last week,resumption,island,,,,,,
210510_do,english,doen02,item15,the man that Anna thinks the organization interviewed last week,cond2,the man that Anna thinks the organization interviewed last week,gap,long,,,,,,
210510_do,english,doen03,item01,the one that the officers arrested last week,cond1,the man that the officers arrested last week,gap,short,,,,,,
210510_do,english,doen03,item02,the one that Bill thinks the detectives caught last night,cond2,the woman that Bill thinks the detectives caught last night,gap,long,,,,,,
210510_do,english,doen03,item03,the one that Tina wonders which lawyers defended last month,cond3,the man that Tina wonders which lawyers defended him last month,gap,island,,,,,,
210510_do,english,doen03,item04,the one that the restaurant employed last year,cond1,the woman that the restaurant employed last year,gap,short,,,,,,
210510_do,english,doen03,item05,the one that Anna thinks the nurses examined last night,cond2,the man that Anna thinks the nurses examined last night,gap,long,,,,,,
210510_do,english,doen03,item06,the one that John wonders which business fired last year,cond3,the woman that John wonders which business fired her last year,gap,island,,,,,,
210510_do,english,doen03,item07,the one that the company hired last year,cond1,the man that the company hired last year,gap,short,,,,,,
210510_do,english,doen03,item08,the one that Mike thinks the agency punished last year,cond2,the woman that Mike thinks the agency punished last year,gap,long,,,,,,
210510_do,english,doen03,item09,the one that Judy wondered which soldiers questioned him last week,cond3,the man that Judy wonders which soldiers questioned him last week,resumption,island,,,,,,
210510_do,english,doen03,item10,the one that the firm recruited last month,cond1,the woman that the firm recruited last month,gap,short,,,,,,
210510_do,english,doen03,item11,the one that Mary thinks the officials released last month,cond2,the man that Mary thinks the officials released last month,gap,long,,,,,,
210510_do,english,doen03,item12,the one that Bill wonders which guards rescued last night,cond3,the woman that Bill wonders which guards rescued her last night,gap,island,,,,,,
210510_do,english,doen03,item13,the ones the doctors treated,cond1,the man that the doctors treated last week,gap,short,,,,,,
210510_do,english,doen03,item14,the one that John thinks the committee welcomed last month,cond2,the woman that Luke thinks the committee welcomed last month,gap,long,,,,,,
210510_do,english,doen03,item15,the one that Anna wonders which organization interviewed him last week,cond3,the man that Anna wonders which organization interviewed him last week,resumption,island,,,,,,
210510_do,english,doen04,item01,the man that Mary thinks officers arrested last week,cond2,the man that Mary thinks the officers arrested last week,gap,long,,,,,,
210510_do,english,doen04,item02,the woman Bill wonders which detectives caught last night,cond3,the woman that Bill wonders which detectives caught her last night,gap,island,,,,,,
210510_do,english,doen04,item03,the man the lawyers defended this last month,cond1,the man that the lawyers defended last month,gap,short,,,,,,
210510_do,english,doen04,item04,the woman that Luke thinks the restaurant employed last year,cond2,the woman that Luke thinks the restaurant employed last year,gap,long,,,,,,
210510_do,english,doen04,item05,the man that Anna wonders which nurses examined last night,cond3,the man that Anna wonders which nurses examined him last night,gap,island,,,,,,
210510_do,english,doen04,item06,the woman the business fired last year,cond1,the man that the business fired last year,gap,short,,,,,,
210510_do,english,doen04,item07,the man Lisa thinks the company hired last year,cond2,the man that Lisa thinks the company hired last year,gap,long,,,,,,
210510_do,english,doen04,item08,the woman that Mike wonders which agency punished last year,cond3,the woman that Mike wonders which agency punished her last year,gap,island,,,,,,
210510_do,english,doen04,item09,the man that the soldiers questioned last week,cond1,the man that the soldiers questioned last week,gap,short,,,,,,
210510_do,english,doen04,item10,the woman Dave thinks the firm recruited last month,cond2,the woman that Dave thinks the firm recruited last month,gap,long,,,,,,
210510_do,english,doen04,item11,the man that Mary wonders which officials released last month,cond3,the man that Mary wonders which officials released him last month,gap,island,,,,,,
210510_do,english,doen04,item12,the woman that the guards rescued last night,cond1,the woman that the guards rescued last night,gap,short,,,,,,
210510_do,english,doen04,item13,the man Tina thinks doctors treated last week,cond2,the man that Tina thinks the doctors treated last week,gap,long,,,,,,
210510_do,english,doen04,item14,the woman that Luke wonders which committee welcomed last month,cond3,the woman that Luke wonders which committee welcomed her last month,gap,island,,,,,,
210510_do,english,doen04,item15,the man that the organization interviewed,cond1,the man that the organization interviewed last week,gap,short,,,,,,
210510_do,english,doen05,item01,the man who Mary wonders about which officers arrested him last week,cond3,the man that Mary wonders which officers arrested him last week,resumption,island,,,,,,
210510_do,english,doen05,item03,the man who Tina thinks the lawyers defended last month,cond2,the man that Tina thinks the lawyers defended last month,gap,long,,,,,,
210510_do,english,doen05,item04,the woman who Luke wonders which restaurant employed her last year,cond3,the woman that Luke wonders which restaurant employed her last year,resumption,island,,,,,,
210510_do,english,doen05,item06,the woman who John thinks that the business fired last year,cond2,the woman that John this the business fired last year,gap,long,,,,,,
210510_do,english,doen05,item10,the woman who Dave wondered about which firm recruited her last month,cond3,the woman that Dave wonders which firm recruited her last month,resumption,island,,,,,,
210510_do,english,doen05,item12,the woman who Bill thinks that the guards rescued last night,cond2,the woman that Bill thinks the guards rescued last night,gap,long,,,,,,
210510_do,english,doen05,item13,the man who Tina wonders about which doctors treated him last week,cond3,the man that Tina wonders which doctors treated him last week,resumption,island,,,,,,
210510_do,english,doen05,item15,the man who Anna thinks the organization interviewed last week,cond2,the man that Anna thinks the organization interviewed last week,gap,long,,,,,,
210510_do,english,doen06,item01,the one the police officers arrested last week,cond1,the man that the officers arrested last week,gap,short,,,,,,
210510_do,english,doen06,item02,the one Bill thinks the detectives caught last night,cond2,the woman that Bill thinks the detectives caught last night,gap,long,,,,,,
210510_do,english,doen06,item03,the one that Tina wonders which lawyers defended last month,cond3,the man that Tina wonders which lawyers defended him last month,gap,island,,,,,,
210510_do,english,doen06,item04,the one the restaurant employed last year,cond1,the woman that the restaurant employed last year,gap,short,,,,,,
210510_do,english,doen06,item05,the man that Anna thinks the nurses examined last night,cond2,the man that Anna thinks the nurses examined last night,gap,long,,,,,,
210510_do,english,doen06,item06,the woman that John wonders what business fired her,cond3,the woman that John wonders which business fired her last year,resumption,island,,,,,,
210510_do,english,doen06,item07,the one the company hired last year,cond1,the man that the company hired last year,gap,short,,,,,,
210510_do,english,doen06,item08,the one Mike thinks the agency punished last year,cond2,the woman that Mike thinks the agency punished last year,gap,long,,,,,,
210510_do,english,doen06,item10,the one that the firm recruited,cond1,the woman that the firm recruited last month,gap,short,,,,,,
210510_do,english,doen06,item11,the one that Mary thinks the officials released last night,cond2,the man that Mary thinks the officials released last month,gap,long,,,,,,
210510_do,english,doen06,item12,the one that Bill wonders which guards rescued her last night,cond3,the woman that Bill wonders which guards rescued her last night,resumption,island,,,,,,
210510_do,english,doen06,item13,the one that the doctors treated last week,cond1,the man that the doctors treated last week,gap,short,,,,,,
210510_do,english,doen06,item14,the one that Luke thinks commi the committee welcomed last month,cond2,the woman that Luke thinks the committee welcomed last month,gap,long,,,,,,
210510_do,english,doen06,item15,the one that Anna wonders which organization interviewed this man,cond3,the man that Anna wonders which organization interviewed him last week,resumption,island,,,,,,
210510_do,english,doen07,item01,the man that Mary thinks the officers arrested last week,cond2,the man that Mary thinks the officers arrested last week,gap,long,,,,,,
